date,open,high,low,close,volume
2019-06-25,45200,45800,45200,45450,4120726
2019-06-24,45200,45800,45200,45500,6085066
2019-06-21,45750,45800,45200,45700,9454913
2019-06-20,44850,45500,44850,45500,7147785
2019-06-19,45450,45450,45000,45350,10417690
2019-06-18,43750,44500,43650,44350,7994928
2019-06-17,43750,44050,43400,43900,11890424
2019-06-14,43750,44150,43300,44000,9322873
2019-06-13,44200,44400,43400,43750,16906541
2019-06-12,44800,45050,44300,44600,8607439
2019-06-11,44800,45000,44550,44850,6664872
2019-06-10,44300,44850,44050,44800,8792182
2019-06-07,43600,44350,43450,44200,11683682
2019-06-05,44050,44200,43700,43900,12464135
2019-06-04,43400,43700,43000,43450,9913497
2019-06-03,42950,43900,42500,43800,15466580
2019-05-31,42600,42800,42150,42500,11365999
2019-05-30,42200,42700,42150,42550,11766018
2019-05-29,41850,42100,41300,41800,14930618
2019-05-28,42550,42950,42150,42550,24506881
2019-05-27,42500,43000,42350,42650,8066669
2019-05-24,43800,43800,42400,42700,13966305
2019-05-23,43900,44000,43250,43850,12259006
2019-05-22,43700,43800,42400,43500,11033339
2019-05-21,42600,43950,42350,43150,18812133
2019-05-20,41650,42100,41550,42000,15752397
2019-05-17,41950,42050,40850,41200,13357951
2019-05-16,42350,42400,41350,41550,13687828
2019-05-15,42700,43050,42550,42550,7670185
2019-05-14,41300,43100,41300,42650,11563730
2019-05-13,42500,43200,42350,42650,7635079
2019-05-10,42600,43450,42450,42900,14579512
2019-05-09,43900,44250,42450,42450,23029718
2019-05-08,44300,44850,44200,44250,10398754
2019-05-07,45250,45300,44400,44850,12014907
2019-05-03,45900,46050,45300,45300,6562916
2019-05-02,45500,46150,45400,45900,8625126
2019-04-30,46000,46300,45350,45850,11121273
2019-04-29,45150,46150,45100,46150,8777517
2019-04-26,44200,45000,43800,44850,9739982
2019-04-25,44250,45000,44100,44650,10868965
2019-04-24,45400,45650,44150,44750,13299267
2019-04-23,45050,45500,45000,45200,6920566
2019-04-22,45400,45900,45100,45350,6006957
2019-04-19,45750,46000,45250,45300,8479710
2019-04-18,47200,47250,45500,45600,12808747
2019-04-17,47300,47600,47000,47050,5513658
2019-04-16,47400,47400,46800,47250,7730881
2019-04-15,47150,47500,47000,47050,8733019
